step	mu	sigma
804	0.563105	0.826742
805	0.0758797	1.01406
806	0.175385	0.555679
807	0.0141139	0.825743
808	0.288395	1.28716
809	0.288395	1.28716
810	0.530186	0.830752
811	0.2847	0.554815
812	0.0657119	0.51283
813	0.0657119	0.51283
814	0.0701021	0.907886
815	0.0902364	0.685409
816	0.423236	0.539469
817	0.435001	0.496128
818	0.715396	0.93207
819	0.832889	0.98032
820	0.832889	0.98032
821	0.795859	1.08401
822	1.02262	0.894425
823	0.721709	1.1475
824	0.721709	1.1475
825	0.758701	0.800715
826	0.997895	0.846904
827	0.743684	0.789181
828	0.845748	0.790764
829	0.845748	0.790764
830	0.786838	0.954199
831	0.46997	0.753295
832	0.264789	1.11119
833	0.140494	0.954714
834	0.140494	0.954714
835	0.292817	0.626551
836	0.292817	0.626551
837	0.292817	0.626551
838	0.346132	0.972967
839	0.637845	1.00622
840	0.945168	0.644405
841	0.696371	0.830536
842	0.696371	0.830536
843	0.696371	0.830536
844	0.696371	0.830536
845	0.708812	0.443188
846	0.708812	0.443188
847	0.708812	0.443188
848	0.708812	0.443188
849	0.84408	0.705903
850	0.84408	0.705903
851	0.84408	0.705903
852	0.84408	0.705903
853	0.817651	0.669286
854	0.817651	0.669286
855	0.854959	0.697879
856	0.854959	0.697879
857	0.854959	0.697879
858	0.940718	0.628159
859	0.940718	0.628159
860	0.853404	0.703997
861	0.853404	0.703997
862	0.694596	0.877001
863	0.694596	0.877001
864	0.457668	0.807133
865	0.457668	0.807133
866	0.667794	0.508747
867	0.667794	0.508747
868	0.667794	0.508747
869	0.883748	0.656042
870	0.883748	0.656042
871	0.740462	0.890149
872	0.402065	0.971942
873	0.402065	0.971942
874	0.402065	0.971942
875	0.402065	0.971942
876	0.3812	0.757258
877	0.425942	0.378632
878	0.448277	0.848564
879	0.394622	1.23013
880	0.0470571	1.09643
881	0.31154	1.07478
882	0.184807	1.12169
883	0.0356317	1.33782
884	0.180449	1.43223
885	0.016141	1.50792
886	0.016141	1.50792
887	0.224904	1.21043
888	0.095734	1.17498
889	0.095734	1.17498
890	0.095734	1.17498
891	0.207355	1.2205
892	0.441153	1.05526
893	0.47008	0.887845
894	0.240198	1.02423
895	0.0576831	0.70824
896	0.507923	1.05077
897	0.756885	1.24053
898	0.756885	1.24053
899	0.99064	1.06551
900	0.99064	1.06551
901	1.0594	0.730145
902	1.01928	0.878673
903	0.877531	0.729604
904	0.925571	0.768923
905	1.22239	0.767799
906	1.1763	0.983377
907	0.737044	1.18959
908	0.515993	1.26758
909	0.515993	1.26758
910	0.668344	1.15676
911	0.379969	0.692731
912	0.379969	0.692731
913	0.814636	1.05384
914	0.364104	1.10073
915	0.553692	1.14718
916	0.61123	1.31125
917	0.61123	1.31125
918	0.875999	0.949411
919	0.695347	0.816536
920	0.695347	0.816536
921	0.333226	0.942357
922	0.333226	0.942357
923	0.0465681	1.00275
924	0.00726617	1.09175
925	0.00726617	1.09175
926	0.212349	1.03461
927	0.398981	0.656808
928	0.495609	0.772545
929	0.498562	0.743885
930	0.442554	1.12997
931	0.225118	1.09983
932	0.225118	1.09983
933	0.360151	1.00461
934	0.00683441	1.06871
935	0.426523	1.05731
936	0.426523	1.05731
937	0.426523	1.05731
938	0.493286	1.41998
939	0.204167	0.936571
940	0.384834	0.5757
941	0.384834	0.5757
942	0.532637	0.48915
943	0.140329	0.832043
944	0.354572	0.432012
945	0.354572	0.432012
946	0.0460344	0.459539
947	0.258128	0.833138
948	0.258128	0.833138
949	0.156112	0.569961
950	0.244494	0.634875
951	0.244494	0.634875
952	0.0470478	0.328154
953	0.0470478	0.328154
954	0.364916	0.683578
955	0.574743	1.03126
956	0.430949	1.35732
957	0.297452	1.41362
958	0.34909	1.11323
959	0.142178	0.871821
960	0.128341	0.963353
961	0.128341	0.963353
962	0.128341	0.963353
963	0.294958	1.27432
964	0.0838578	1.09308
965	0.410387	0.863101
966	0.252188	1.04285
967	0.252188	1.04285
968	0.18097	1.05777
969	0.165643	1.14356
970	0.165643	1.14356
971	0.195809	1.17503
972	0.427239	0.975244
973	0.427239	0.975244
974	0.427239	0.975244
975	0.302584	0.629443
976	0.276975	0.417633
977	0.378842	0.661262
978	0.0998615	0.464343
979	0.420053	0.95705
980	0.891442	0.501621
981	0.849856	0.979359
982	0.767245	0.595368
983	0.767245	0.595368
984	0.989164	0.818895
985	0.791981	0.742135
986	0.71661	0.575532
987	0.62944	0.975378
988	0.888108	0.509046
989	0.888108	0.509046
990	1.04123	0.924009
991	1.08578	0.669444
992	0.841723	0.711693
993	0.724247	0.417784
994	0.889764	0.695014
995	0.498858	1.05977
996	0.288254	1.28763
997	0.513684	0.852439
998	0.553765	0.553659
999	0.961272	0.842817
1000	0.786108	0.758048
1001	0.786108	0.758048
1002	1.08327	0.813376
1003	1.2636	0.55812
1004	1.2636	0.55812
1005	1.2636	0.55812
1006	0.839465	0.378351
1007	0.839465	0.378351
1008	0.917218	0.683422
1009	0.876752	1.05911
1010	0.473011	1.36339
1011	0.473011	1.36339
1012	0.473011	1.36339
1013	0.473011	1.36339
1014	0.473011	1.36339
1015	0.473011	1.36339
1016	0.461626	1.32261
1017	0.592973	1.46295
1018	0.592973	1.46295
1019	0.257216	0.992478
1020	0.188777	1.24207
1021	0.0051714	0.753821
1022	0.297498	0.474329
1023	0.0278575	0.42931
1024	0.0278575	0.42931
1025	0.0278575	0.42931
1026	0.436094	0.416561
1027	0.436094	0.416561
1028	0.436094	0.416561
1029	0.644039	0.579458
1030	0.644039	0.579458
1031	1.05825	0.77466
1032	1.05825	0.77466
1033	1.05825	0.77466
1034	1.05825	0.77466
1035	1.05825	0.77466
1036	1.05825	0.77466
1037	1.05825	0.77466
1038	1.05825	0.77466
1039	0.764443	0.754488
1040	0.387811	0.570948
1041	0.387811	0.570948
1042	0.529405	0.403682
1043	0.529405	0.403682
1044	0.529405	0.403682
1045	0.960657	0.405537
1046	1.22159	0.762317
1047	1.22159	0.762317
1048	1.12337	0.741186
1049	0.661747	0.958973
1050	0.477585	0.487063
1051	0.848897	0.809401
1052	0.769338	0.647491
1053	0.769338	0.647491
1054	0.769338	0.647491
1055	0.693212	0.445947
1056	0.693212	0.445947
1057	0.693212	0.445947
1058	0.693212	0.445947
1059	0.693212	0.445947
1060	0.982646	0.637452
1061	0.982646	0.637452
1062	0.982646	0.637452
1063	0.982646	0.637452
1064	0.696104	0.676048
1065	0.696104	0.676048
1066	0.624234	0.423183
1067	0.931772	0.883169
1068	0.931772	0.883169
1069	0.93353	1.09524
1070	0.546329	0.809794
1071	0.546329	0.809794
1072	0.68627	0.727734
1073	0.929143	0.430359
1074	0.679523	0.409893
1075	0.679523	0.409893
1076	0.460241	0.416047
1077	0.691998	0.86576
1078	0.742275	0.800427
1079	0.742275	0.800427
1080	0.742275	0.800427
1081	0.742275	0.800427
1082	0.563377	0.57769
1083	0.563377	0.57769
1084	0.604075	0.570598
1085	0.714805	0.876862
1086	0.682224	1.22892
1087	0.644628	0.891232
1088	0.644628	0.891232
1089	0.644628	0.891232
1090	0.482446	0.520329
1091	0.482446	0.520329
1092	0.482446	0.520329
1093	0.482446	0.520329
1094	0.748529	0.507296
1095	0.748529	0.507296
1096	0.748529	0.507296
1097	0.748529	0.507296
1098	0.748529	0.507296
1099	0.748529	0.507296
1100	0.748529	0.507296
1101	0.748529	0.507296
1102	0.748529	0.507296
1103	0.842094	0.681165
1104	1.14981	1.0309
1105	0.829238	1.09807
1106	0.829238	1.09807
1107	0.525639	1.24211
1108	0.525639	1.24211
1109	0.525639	1.24211
1110	0.825911	1.33817
1111	0.825911	1.33817
1112	0.825911	1.33817
1113	0.489611	0.958306
1114	0.432551	1.44371
1115	0.212978	1.46069
1116	0.212978	1.46069
1117	0.212978	1.46069
1118	0.115482	1.56553
1119	0.115482	1.56553
1120	0.115482	1.56553
1121	0.115482	1.56553
1122	0.247776	1.09865
1123	0.100359	0.882056
1124	0.100359	0.882056
1125	0.100359	0.882056
1126	0.084874	0.883377
1127	0.084874	0.883377
1128	0.084874	0.883377
1129	0.373942	0.74999
1130	0.388546	1.05496
1131	0.758652	1.52024
1132	0.702655	1.10841
1133	0.702655	1.10841
1134	1.04127	1.02011
1135	0.916775	0.535246
1136	0.526802	0.598424
1137	0.278458	0.42201
1138	0.417933	0.521159
1139	0.00531852	0.468689
1140	0.319898	0.730676
1141	0.319898	0.730676
1142	0.244868	0.688203
1143	0.616086	0.704221
1144	0.616086	0.704221
